feature,coefficient,abs_coefficient
EGFR,1.1523187415191318,1.1523187415191318
FGFR1,1.0389677680368115,1.0389677680368115
PIK3CA,1.0192614992572564,1.0192614992572564
ERBB2,-0.9324257094090089,0.9324257094090089
MYC,-0.7931568508999497,0.7931568508999497
MET,-0.7891339972218746,0.7891339972218746
FAS,-0.7624499751437924,0.7624499751437924
HGF,-0.7513374819718458,0.7513374819718458
CASP9,-0.7200836971553072,0.7200836971553072
BCL2L11,0.579768391055394,0.579768391055394
JUN,-0.5567478121579899,0.5567478121579899
BCL2,-0.5463055994046717,0.5463055994046717
CFLAR,0.530151836224517,0.530151836224517
KRAS,-0.49961272877225626,0.49961272877225626
TNF,-0.42633629554631286,0.42633629554631286
BAX,-0.39953321310159373,0.39953321310159373
BBC3,0.3989101157324448,0.3989101157324448
BRAF,0.36421725410278544,0.36421725410278544
EGF,0.3430089493184306,0.3430089493184306
GRB2,-0.3195221987030653,0.3195221987030653
FGFR2,0.3109766702772616,0.3109766702772616
MCL1,0.30055317192123693,0.30055317192123693
BAD,0.2894904611442377,0.2894904611442377
FOS,0.2750041027724932,0.2750041027724932
IGF1R,-0.2703139508194149,0.2703139508194149
TP53,0.2029701831302927,0.2029701831302927
TNFRSF10B,-0.20189737824804993,0.20189737824804993
FASLG,-0.18460612135629645,0.18460612135629645
BID,-0.1839733877853685,0.1839733877853685
BCL2L1,-0.17485055488937912,0.17485055488937912
APAF1,-0.16390706054950066,0.16390706054950066
NRAS,0.1381175641292422,0.1381175641292422
AKT1,-0.08928698688984732,0.08928698688984732
CASP8,0.08776497844830893,0.08776497844830893
BAK1,-0.08023281197881345,0.08023281197881345
MAPK3,0.07078490910260425,0.07078490910260425
SOS1,-0.05499664865229451,0.05499664865229451
CASP3,-0.0304209980742911,0.0304209980742911
DIABLO,-0.02993892484464107,0.02993892484464107
MAPK1,-0.029497523314390765,0.029497523314390765
