hallmark,gene,present_in_dataset
Sustained_Proliferative_Signaling,EGFR,True
Sustained_Proliferative_Signaling,ERBB2,True
Sustained_Proliferative_Signaling,KRAS,True
Sustained_Proliferative_Signaling,NRAS,True
Sustained_Proliferative_Signaling,BRAF,True
Sustained_Proliferative_Signaling,PIK3CA,True
Sustained_Proliferative_Signaling,AKT1,True
Sustained_Proliferative_Signaling,MYC,True
Sustained_Proliferative_Signaling,FOS,True
Sustained_Proliferative_Signaling,JUN,True
Resist_Apoptosis,TP53,True
Resist_Apoptosis,BCL2,True
Resist_Apoptosis,BCL2L1,True
Resist_Apoptosis,MCL1,True
Resist_Apoptosis,CASP8,True
Resist_Apoptosis,CASP3,True
Resist_Apoptosis,BAX,True
Resist_Apoptosis,BAK1,True
Resist_Apoptosis,APAF1,True
Resist_Apoptosis,BID,True
